screen_id,route_path,route_name,page_widget,page_file,layout_pattern,vpc_files,vpc_owner_file,declared_tier,suggested_tier,tier_status,l1_status,l2_status,l3_status,notes
SC-170,'/dca/rebalance/:configId/edit',AppRouteNames.sc408DcaRebalanceEdit,DCARebalanceConfig,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart,direct_vpc,features/dca/presentation/pages/dca_rebalance_config_page.dart;features/dca/presentation/pages/dca_rebalance_config_page_part_01.dart;features/dca/presentation/pages/dca_rebalance_config_page_part_02.dart;features/dca/presentation/pages/dca_rebalance_config_page_part_03.dart,features/dca/presentation/pages/dca_rebalance_config_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-171,'/dca/rebalance/:configId/history',AppRouteNames.sc409DcaRebalanceHistory,DCARebalanceDashboard,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,direct_vpc,features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-041,'/markets/predictions/advanced-chart/:eventId',AppRouteNames.sc041PredictionAdvancedChart,PredictionAdvancedChartPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/predictions/presentation/pages/prediction_advanced_chart_page.dart,direct_vpc,features/predictions/presentation/pages/prediction_advanced_chart_page.dart;features/predictions/presentation/widgets/prediction_advanced_chart_analysis.dart;features/predictions/presentation/widgets/prediction_advanced_chart_indicators.dart;features/predictions/presentation/widgets/prediction_advanced_chart_overview.dart;features/predictions/presentation/widgets/prediction_advanced_chart_overview_painters.dart;features/predictions/presentation/widgets/prediction_advanced_chart_painter_utils.dart,features/predictions/presentation/pages/prediction_advanced_chart_page.dart,flush,flush|standard,aligned,pass,pass,pass,compliant
SC-030,'/markets/predictions/event/:eventId',AppRouteNames.sc030PredictionEventDetail,PredictionEventDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,direct_vpc,features/predictions/presentation/pages/prediction_event_detail_page.dart;features/predictions/presentation/widgets/prediction_event_detail_activity_holders.dart;features/predictions/presentation/widgets/prediction_event_detail_chart.dart;features/predictions/presentation/widgets/prediction_event_detail_comments.dart;features/predictions/presentation/widgets/prediction_event_detail_common.dart;features/predictions/presentation/widgets/prediction_event_detail_detail_tabs.dart;features/predictions/presentation/widgets/prediction_event_detail_header.dart;features/predictions/presentation/widgets/prediction_event_detail_order_book.dart;features/predictions/presentation/widgets/prediction_event_detail_quick_links.dart;features/predictions/presentation/widgets/prediction_event_detail_related_arena.dart;features/predictions/presentation/widgets/prediction_event_detail_stats_position.dart;features/predictions/presentation/widgets/prediction_event_detail_trade_controls.dart;features/predictions/presentation/widgets/prediction_event_detail_trade_panel.dart,features/predictions/presentation/pages/prediction_event_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-035,'/markets/predictions/receipt/:receiptId',AppRouteNames.sc035PredictionOrderReceipt,PredictionOrderReceiptPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart,direct_vpc,features/predictions/presentation/pages/prediction_order_receipt_page.dart;features/predictions/presentation/widgets/prediction_order_receipt_page_common.dart;features/predictions/presentation/widgets/prediction_order_receipt_page_sections.dart,features/predictions/presentation/pages/prediction_order_receipt_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-042,'/markets/predictions/tournament/:tournamentId',AppRouteNames.sc414PredictionTournamentDetail,PredictionTournamentDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/predictions/presentation/pages/prediction_tournaments_page.dart,direct_vpc,features/predictions/presentation/pages/prediction_tournaments_page.dart;features/predictions/presentation/widgets/prediction_tournaments_detail.dart;features/predictions/presentation/widgets/prediction_tournaments_empty_leaderboard.dart;features/predictions/presentation/widgets/prediction_tournaments_list.dart;features/predictions/presentation/widgets/prediction_tournaments_stats.dart,features/predictions/presentation/pages/prediction_tournaments_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-223,'/p2p/ad-analytics/:adId',AppRouteNames.sc223P2PAdAnalytics,P2PAdAnalyticsPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_ad_analytics_page.dart;features/p2p/presentation/widgets/p2p_ad_analytics_page_part_01.dart;features/p2p/presentation/widgets/p2p_ad_analytics_page_part_02.dart;features/p2p/presentation/widgets/p2p_ad_analytics_page_part_03.dart,features/p2p/presentation/pages/p2p_ad_analytics_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-224,'/p2p/ad/:adId',AppRouteNames.sc224P2PAdDetail,P2PAdDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_ad_detail_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_ad_detail_page.dart;features/p2p/presentation/widgets/p2p_ad_detail_amount_terms.dart;features/p2p/presentation/widgets/p2p_ad_detail_merchant_info.dart,features/p2p/presentation/pages/p2p_ad_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-217,'/p2p/chat/:orderId',AppRouteNames.sc217P2PChat,P2PChatPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_chat_page.dart;features/p2p/presentation/widgets/p2p_chat_composer_actions.dart;features/p2p/presentation/widgets/p2p_chat_header_banners.dart;features/p2p/presentation/widgets/p2p_chat_messages.dart,features/p2p/presentation/pages/p2p_chat_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-221,'/p2p/dispute/:orderId',AppRouteNames.sc221P2PDispute,P2PDisputePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_dispute_page.dart,features/p2p/presentation/pages/p2p_dispute_page.dart,form,form,aligned,pass,pass,pass,compliant
SC-218,'/p2p/dispute/detail/:disputeId',AppRouteNames.sc218P2PDisputeDetail,P2PDisputeDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_detail_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_dispute_detail_page.dart,features/p2p/presentation/pages/p2p_dispute_detail_page.dart,form,form,aligned,pass,pass,pass,compliant
SC-219,'/p2p/dispute/evidence/:disputeId',AppRouteNames.sc219P2PDisputeEvidence,P2PDisputeEvidencePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_evidence_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_dispute_evidence_page.dart,features/p2p/presentation/pages/p2p_dispute_evidence_page.dart,form,form,aligned,pass,pass,pass,compliant
SC-220,'/p2p/dispute/resolution/:disputeId',AppRouteNames.sc220P2PDisputeResolution,P2PDisputeResolutionPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,form,form,aligned,pass,pass,pass,compliant
SC-246,'/p2p/escrow/:orderId',AppRouteNames.sc246P2PEscrowDetail,P2PEscrowDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_escrow_detail_page.dart,shared_shell,features/p2p/presentation/pages/p2p_escrow_detail_page.dart;features/p2p/presentation/widgets/p2p_escrow_detail_multisig_order.dart;features/p2p/presentation/widgets/p2p_escrow_detail_status_address.dart;features/p2p/presentation/widgets/p2p_escrow_detail_timeline_actions.dart;features/p2p/presentation/widgets/vit_p2p_flow_scaffold.dart,features/p2p/presentation/pages/p2p_escrow_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant;visual_qa_evidence
AppRouteNames.sc243P2PClaimDetail,'/p2p/insurance/claim/:claimId',AppRouteNames.sc243P2PClaimDetail,P2PClaimDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_claim_detail_page.dart,shared_shell,features/p2p/presentation/pages/p2p_claim_detail_page.dart;features/p2p/presentation/pages/p2p_claim_detail_page_part_01.dart;features/p2p/presentation/pages/p2p_claim_detail_page_part_02.dart;features/p2p/presentation/pages/p2p_claim_detail_page_part_03.dart;features/p2p/presentation/widgets/vit_p2p_flow_scaffold.dart,features/p2p/presentation/pages/p2p_claim_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-228,'/p2p/merchant/:merchantId',AppRouteNames.sc228P2PMerchantProfile,P2PMerchantProfilePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_profile_page.dart,shared_shell,features/p2p/presentation/pages/p2p_merchant_profile_page.dart;features/p2p/presentation/widgets/p2p_merchant_profile_ads_reviews.dart;features/p2p/presentation/widgets/p2p_merchant_profile_header_stats.dart;features/p2p/presentation/widgets/vit_p2p_flow_scaffold.dart,features/p2p/presentation/pages/p2p_merchant_profile_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc216P2POrder,'/p2p/order/:orderId',AppRouteNames.sc216P2POrder,P2POrderPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_order_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_order_page.dart;features/p2p/presentation/widgets/p2p_order_page_part_01.dart;features/p2p/presentation/widgets/p2p_order_page_part_02.dart;features/p2p/presentation/widgets/p2p_order_page_part_03.dart,features/p2p/presentation/pages/p2p_order_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-214,'/p2p/order/cancel/:orderId',AppRouteNames.sc214P2POrderCancel,P2POrderCancelPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_order_cancel_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_order_cancel_page.dart,features/p2p/presentation/pages/p2p_order_cancel_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-215,'/p2p/order/proof/:orderId',AppRouteNames.sc215P2POrderProof,P2POrderProofPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_order_proof_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_order_proof_page.dart;features/p2p/presentation/widgets/p2p_order_proof_widgets.dart,features/p2p/presentation/pages/p2p_order_proof_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-213,'/p2p/order/rate/:orderId',AppRouteNames.sc213P2POrderRate,P2POrderRatePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_order_rate_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_order_rate_page.dart;features/p2p/presentation/widgets/p2p_order_rate_widgets.dart,features/p2p/presentation/pages/p2p_order_rate_page.dart,form,standard,aligned,pass,pass,pass,compliant
SC-212,'/p2p/order/timeline/:orderId',AppRouteNames.sc212P2POrderTimeline,P2POrderTimelinePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_order_timeline_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_order_timeline_page.dart,features/p2p/presentation/pages/p2p_order_timeline_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-234,'/p2p/payment-method/ownership/:methodId',AppRouteNames.sc234P2PPaymentMethodOwnership,P2PPaymentMethodOwnershipPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart,shared_shell,features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart;features/p2p/presentation/widgets/vit_p2p_flow_scaffold.dart,features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-233,'/p2p/payment-method/verification/:methodId',AppRouteNames.sc233P2PPaymentMethodVerification,P2PPaymentMethodVerificationPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_verification_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_payment_method_verification_page.dart;features/p2p/presentation/widgets/p2p_payment_method_verification_flow.dart;features/p2p/presentation/widgets/p2p_payment_method_verification_methods.dart,features/p2p/presentation/pages/p2p_payment_method_verification_page.dart,form,standard,aligned,pass,pass,pass,compliant
SC-229,'/p2p/report/:merchantId',AppRouteNames.sc229P2PReportMerchant,P2PReportMerchantPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_report_merchant_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_report_merchant_page.dart;features/p2p/presentation/widgets/p2p_report_merchant_reasons_details.dart;features/p2p/presentation/widgets/p2p_report_merchant_summary_actions.dart,features/p2p/presentation/pages/p2p_report_merchant_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-272,'/p2p/tax-report/detailed/:year',AppRouteNames.sc407P2PTaxReportDetail,P2PTaxReportingPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart,direct_vpc,features/p2p/presentation/pages/p2p_tax_reporting_page.dart;features/p2p/presentation/widgets/p2p_tax_reporting_page_common.dart;features/p2p/presentation/widgets/p2p_tax_reporting_page_sections.dart,features/p2p/presentation/pages/p2p_tax_reporting_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-044,'/pair/:pairId',AppRouteNames.sc044PairDetail,PairDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/markets/presentation/pages/pair_detail_page.dart,direct_vpc,features/markets/presentation/pages/pair_detail_page.dart;features/markets/presentation/widgets/pair_detail_chart_widgets.dart;features/markets/presentation/widgets/pair_detail_header_widgets.dart;features/markets/presentation/widgets/pair_detail_order_widgets.dart;features/markets/presentation/widgets/pair_detail_painter_widgets.dart,features/markets/presentation/pages/pair_detail_page.dart,compact,compact|standard,aligned,pass,pass,pass,compliant
SC-019,'/pair/:pairId/depth',AppRouteNames.sc046PairDepth,MarketDepthPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/markets/presentation/pages/market_depth_page.dart,direct_vpc,features/markets/presentation/pages/market_depth_page.dart,features/markets/presentation/pages/market_depth_page.dart,flush,flush,aligned,pass,pass,pass,compliant
SC-045,'/pair/:pairId/info',AppRouteNames.sc045TokenInfo,TokenInfoPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/markets/presentation/pages/token_info_page.dart,direct_vpc,features/markets/presentation/pages/token_info_page.dart;features/markets/presentation/widgets/token_info_detail_widgets.dart;features/markets/presentation/widgets/token_info_market_widgets.dart;features/markets/presentation/widgets/token_info_tabs_widgets.dart,features/markets/presentation/pages/token_info_page.dart,compact,compact|standard,aligned,pass,pass,pass,compliant
SC-289,'/referral/friend/:friendId',AppRouteNames.sc289ReferralFriendDetail,ReferralFriendDetailPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/referral/presentation/pages/referral_friend_detail_page.dart,direct_vpc,features/referral/presentation/pages/referral_friend_detail_page.dart,features/referral/presentation/pages/referral_friend_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc049TradePair,'/trade/:pairId',AppRouteNames.sc049TradePair,TradePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/trade_page.dart,shared_shell,features/trade/presentation/pages/trade_page.dart;features/trade/presentation/pages/trade_page_part_01.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/trade_page.dart,standard,standard,aligned,pass,pass,pass,compliant;tab_root;visual_qa_pass
AppRouteNames.sc057Futures,'/trade/:pairId/futures',AppRouteNames.sc057Futures,FuturesPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/futures_page.dart,shared_shell,features/trade/presentation/pages/futures_page.dart;features/trade/presentation/pages/futures_page_part_01.dart;features/trade/presentation/pages/futures_page_part_02.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/futures_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-058,'/trade/:pairId/futures/leverage',AppRouteNames.sc058Leverage,LeveragePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/leverage_page.dart,shared_shell,features/trade/presentation/pages/leverage_page.dart;features/trade/presentation/widgets/leverage_controls_presets.dart;features/trade/presentation/widgets/leverage_header_hero_risk.dart;features/trade/presentation/widgets/leverage_impact_confirm.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/leverage_page.dart,compact,compact,aligned,pass,pass,pass,compliant
SC-055,'/trade/advanced-chart/:pairId',AppRouteNames.sc055AdvancedChart,AdvancedChartPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart,direct_vpc,features/trade/presentation/pages/advanced_chart_page.dart;features/trade/presentation/widgets/advanced_chart_area_actions.dart;features/trade/presentation/widgets/advanced_chart_header_toolbar.dart;features/trade/presentation/widgets/advanced_chart_painter.dart,features/trade/presentation/pages/advanced_chart_page.dart,flush,flush|standard,aligned,pass,pass,pass,compliant;visual_qa_evidence
SC-077,'/trade/copy-audit-log/:copyId',AppRouteNames.sc077CopyAuditLog,CopyAuditLogPage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/copy_audit_log_page.dart,shared_shell,features/trade/presentation/pages/copy_audit_log_page.dart;features/trade/presentation/widgets/copy_audit_log_controls.dart;features/trade/presentation/widgets/copy_audit_log_events.dart;features/trade/presentation/widgets/copy_audit_log_summary.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/copy_audit_log_page.dart,standard,standard,aligned,pass,pass,pass,compliant
SC-074,'/trade/copy-performance/:copyId',AppRouteNames.sc074CopyPerformance,CopyPerformancePage,C:/Users/C-PC/Documents/Tao-app-trad-figma-sang-fultter-bang-ui-ux-pro-max-truc-tiep-tu-code/flutter_app/lib/features/trade/presentation/pages/copy_performance_page.dart,shared_shell,features/trade/presentation/pages/copy_performance_page.dart;features/trade/presentation/widgets/copy_performance_common.dart;features/trade/presentation/widgets/copy_performance_details.dart;features/trade/presentation/widgets/copy_performance_summary_tabs.dart;features/trade/presentation/widgets/trade_module_layout.dart,features/trade/presentation/pages/copy_performance_page.dart,standard,standard,aligned,pass,pass,pass,compliant
