order,batch_id,module_id,module,hub_sc,accent,batch_title,sc_count,sc_ids,page_files,special_prompt,module_prompt,tier,status
12,RD-T06,RD-M05,trade,sc048Trade,"Action, precision, risk",Copy provider & performance,15,sc069ProviderApplication;sc070CopyProviderDetail;sc071PreCopyAssessment;sc072CopyConfiguration;sc073CopyConfirmation;sc074CopyPerformance;sc075PerformanceAttribution;sc076ProviderComparison;sc077CopyAuditLog;sc078PortfolioRiskAnalysis;sc080SafetyEducation;sc081ProviderGovernance;sc082DisputeResolution;sc084RegulatoryDisclosures;sc412TradeCopyRegulatoryDisclosuresAlias,lib/features/trade/presentation/pages/provider_application_page.dart;lib/features/trade/presentation/pages/copy_provider_detail_page.dart;lib/features/trade/presentation/pages/pre_copy_assessment_page.dart;lib/features/trade/presentation/pages/copy_configuration_page.dart;lib/features/trade/presentation/pages/copy_confirmation_page.dart;lib/features/trade/presentation/pages/copy_performance_page.dart;lib/features/trade/presentation/pages/performance_attribution_page.dart;lib/features/trade/presentation/pages/provider_comparison_page.dart;lib/features/trade/presentation/pages/copy_audit_log_page.dart;lib/features/trade/presentation/pages/portfolio_risk_analysis_page.dart;lib/features/trade/presentation/pages/safety_education_page.dart;lib/features/trade/presentation/pages/provider_governance_page.dart;lib/features/trade/presentation/pages/dispute_resolution_page.dart;lib/features/trade/presentation/pages/regulatory_disclosures_page.dart;lib/features/trade/presentation/pages/regulatory_disclosures_page.dart,,prompt-redesign/copy-trading-hub.md,B_child,done
13,RD-T07,RD-M05,trade,sc048Trade,"Action, precision, risk",Margin & trader,5,sc085MarginTrading;sc086MarginTradingPair;sc087TraderProfile;sc088AdvancedTradingDemo;sc090MarginTradingHub,lib/features/trade/presentation/pages/margin_trading_page.dart;lib/features/trade/presentation/pages/margin_trading_page.dart;lib/features/trade/presentation/pages/trader_profile_page.dart;lib/features/trade/presentation/pages/advanced_trading_demo_page.dart;lib/features/trade/presentation/pages/margin_trading_hub_page.dart,,prompt-redesign/trade-core-hub.md,B_child,done
14,RD-T08,RD-M05,trade,sc048Trade,"Action, precision, risk",Tools & analytics,6,sc060RiskManagement;sc061ExecutionQuality;sc062AdvancedTools;sc089MarketDataAnalytics;sc091LiveMarketDataAnalytics;sc092AdvancedAnalytics,lib/features/trade/presentation/pages/risk_management_demo_page.dart;lib/features/trade/presentation/pages/execution_quality_demo_page.dart;lib/features/trade/presentation/pages/advanced_tools_demo_page.dart;lib/features/trade/presentation/pages/market_data_analytics_page.dart;lib/features/trade/presentation/pages/live_market_data_analytics_page.dart;lib/features/trade/presentation/pages/advanced_analytics_page.dart,,prompt-redesign/trade-core-hub.md,B_child,done
15,RD-T09,RD-M05,trade,sc048Trade,"Action, precision, risk",Compliance 1,12,sc093TransactionReporting;sc094RegulatoryReportsDashboard;sc095ArmIntegrationStatus;sc096BestExecutionReports;sc097ExecutionVenueAnalysis;sc098SlippageMonitoring;sc099ClientCategorization;sc100ProductGovernance;sc101TargetMarketDefinition;sc102ClientMoneyProtection;sc103CassReconciliation;sc104InvestorCompensation,lib/features/trade/presentation/pages/transaction_reporting_page.dart;lib/features/trade/presentation/pages/regulatory_reports_dashboard_page.dart;lib/features/trade/presentation/pages/arm_integration_status_page.dart;lib/features/trade/presentation/pages/best_execution_reports_page.dart;lib/features/trade/presentation/pages/execution_venue_analysis_page.dart;lib/features/trade/presentation/pages/slippage_monitoring_page.dart;lib/features/trade/presentation/pages/client_categorization_page.dart;lib/features/trade/presentation/pages/product_governance_page.dart;lib/features/trade/presentation/pages/target_market_definition_page.dart;lib/features/trade/presentation/pages/client_money_protection_page.dart;lib/features/trade/presentation/pages/cass_reconciliation_page.dart;lib/features/trade/presentation/pages/investor_compensation_page.dart,,prompt-redesign/trade-core-hub.md,B_child,done
16,RD-T10,RD-M05,trade,sc048Trade,"Action, precision, risk",Compliance 2 & complaints,15,sc105ExAnteCosts;sc106RiyCalculator;sc107ExPostCostsReport;sc108KidGenerator;sc109PerformanceScenarios;sc110RiskIndicatorExplainer;sc111ComplaintsHandling;sc112ComplaintSubmission;sc113ComplaintTracking;sc114OmbudsmanReferral;sc115AuditTrail;sc116RegulatoryInspectionReady;sc411ClientOptUpRequest;sc415TargetMarketDefinitionDetail;sc416ComplaintTrackingDetail,lib/features/trade/presentation/pages/ex_ante_costs_page.dart;lib/features/trade/presentation/pages/riy_calculator_page.dart;lib/features/trade/presentation/pages/ex_post_costs_report_page.dart;lib/features/trade/presentation/pages/kid_generator_page.dart;lib/features/trade/presentation/pages/performance_scenarios_page.dart;lib/features/trade/presentation/pages/risk_indicator_explainer_page.dart;lib/features/trade/presentation/pages/complaints_handling_page.dart;lib/features/trade/presentation/pages/complaint_submission_page.dart;lib/features/trade/presentation/pages/complaint_tracking_page.dart;lib/features/trade/presentation/pages/ombudsman_referral_page.dart;lib/features/trade/presentation/pages/audit_trail_page.dart;lib/features/trade/presentation/pages/regulatory_inspection_ready_page.dart;lib/features/trade/presentation/pages/client_categorization_page_part_01.dart;lib/features/trade/presentation/pages/target_market_definition_page.dart;lib/features/trade/presentation/pages/complaint_tracking_page.dart,,prompt-redesign/trade-core-hub.md,B_child,done
17,RD-T11,RD-M05,trade,sc048Trade,"Action, precision, risk",Orders & receipts,2,sc050OrdersHistory;sc051OrderReceipt,lib/features/trade/presentation/pages/orders_history_page.dart;lib/features/trade/presentation/pages/order_receipt_page.dart,,prompt-redesign/trade-core-hub.md,B_child,done
18,RD-W01,RD-M06,wallet,sc135Wallet,"Assets, trust, security",Hub & assets,6,sc135Wallet;sc136TxHistory;sc147AssetDetail;sc142PortfolioAnalytics;sc148MultiManager;sc151HealthScore,lib/features/wallet/presentation/pages/wallet_page.dart;lib/features/wallet/presentation/pages/transaction_history_page.dart;lib/features/wallet/presentation/pages/asset_detail_page.dart;lib/features/wallet/presentation/pages/portfolio_analytics_page.dart;lib/features/wallet/presentation/pages/wallet_multi_manager_page.dart;lib/features/wallet/presentation/pages/wallet_health_score_page.dart,prompt-redesign/wallet-hub.md,prompt-redesign/wallet-hub.md,A_hub,done
19,RD-W02,RD-M06,wallet,sc135Wallet,"Assets, trust, security",Deposit,3,sc137Deposit;sc138DepositUsdt;sc152PendingDeposits,lib/features/wallet/presentation/pages/deposit_page.dart;lib/features/wallet/presentation/pages/deposit_page.dart;lib/features/wallet/presentation/pages/pending_deposits_page.dart,,prompt-redesign/wallet-hub.md,B_child,done
20,RD-W03,RD-M06,wallet,sc135Wallet,"Assets, trust, security",Withdraw,5,sc139Withdraw;sc140WithdrawUsdt;sc153WithdrawLimits;sc143AddressAdd;sc144AddressBook,lib/features/wallet/presentation/pages/withdraw_page.dart;lib/features/wallet/presentation/pages/withdraw_page.dart;lib/features/wallet/presentation/pages/withdraw_limits_page.dart;lib/features/wallet/presentation/pages/address_add_page.dart;lib/features/wallet/presentation/pages/address_book_page.dart,,prompt-redesign/wallet-hub.md,B_child,done
21,RD-W04,RD-M06,wallet,sc135Wallet,"Assets, trust, security",Transfer & buy,7,sc145BuyCrypto;sc146Transfer;sc154DustConverter;sc155NetworkStatus;sc149GasOptimizer;sc150TokenApproval;sc141TransactionDetail,lib/features/wallet/presentation/pages/buy_crypto_page.dart;lib/features/wallet/presentation/pages/transfer_page.dart;lib/features/wallet/presentation/pages/dust_converter_page.dart;lib/features/wallet/presentation/pages/network_status_page.dart;lib/features/wallet/presentation/pages/wallet_gas_optimizer_page.dart;lib/features/wallet/presentation/pages/wallet_token_approval_page.dart;lib/features/wallet/presentation/pages/transaction_detail_page.dart,,prompt-redesign/wallet-hub.md,B_child,done
22,RD-F01,RD-M07,profile,sc156Profile,"Account, settings",Hub & settings,8,sc156Profile;sc157EditProfile;sc160Settings;sc161ActivityLog;sc164Vip;sc166SubAccount;sc168MyArena;sc167ProfilePredictions,lib/features/profile/presentation/pages/profile_page.dart;lib/features/profile/presentation/pages/edit_profile_page.dart;lib/features/profile/presentation/pages/settings_page.dart;lib/features/profile/presentation/pages/activity_log_page.dart;lib/features/profile/presentation/pages/vip_page.dart;lib/features/profile/presentation/pages/sub_account_page.dart;lib/features/arena/presentation/pages/my_arena_page.dart;lib/features/predictions/presentation/pages/predictions_portfolio_page.dart,,,B_simple,done
23,RD-F02,RD-M07,profile,sc156Profile,"Account, settings",Security & KYC,6,sc158Security;sc159Kyc;sc165DeviceManagement;sc405SettingsSecurityBiometric;sc406SettingsSecurityChangePassword;sc413SettingsSecurity,lib/features/profile/presentation/pages/security_page.dart;lib/features/profile/presentation/pages/kyc_page.dart;lib/features/profile/presentation/pages/device_management_page.dart;lib/features/profile/presentation/pages/security_page.dart;lib/features/profile/presentation/pages/security_page.dart;lib/features/profile/presentation/pages/security_page.dart,,,B_simple,done
24,RD-F03,RD-M07,profile,sc156Profile,"Account, settings",API keys,2,sc162ApiKeyCreate;sc163ApiManagement,lib/features/profile/presentation/pages/api_key_create_page.dart;lib/features/profile/presentation/pages/api_management_page.dart,,,B_simple,done
25,RD-P01,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Hub & navigation,6,sc282P2PHome;sc274P2PDashboard;sc273P2POrderBook;sc281P2PMyOrders;sc279P2PSettings;sc280P2PGuide,lib/features/p2p/presentation/pages/p2p_home_page.dart;lib/features/p2p/presentation/pages/p2p_dashboard_page.dart;lib/features/p2p/presentation/pages/p2p_order_book_page.dart;lib/features/p2p/presentation/pages/p2p_my_orders_page.dart;lib/features/p2p/presentation/pages/p2p_settings_page.dart;lib/features/p2p/presentation/pages/p2p_guide_page.dart,prompt-redesign/p2p-hub.md,prompt-redesign/p2p-hub.md,A_hub,done
26,RD-P02,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Express & orders,8,sc210P2PExpressConfirm;sc211P2PExpress;sc212P2POrderTimeline;sc213P2POrderRate;sc214P2POrderCancel;sc215P2POrderProof;sc216P2POrder;sc217P2PChat,lib/features/p2p/presentation/pages/p2p_express_confirm_page.dart;lib/features/p2p/presentation/pages/p2p_express_page.dart;lib/features/p2p/presentation/pages/p2p_order_timeline_page.dart;lib/features/p2p/presentation/pages/p2p_order_rate_page.dart;lib/features/p2p/presentation/pages/p2p_order_cancel_page.dart;lib/features/p2p/presentation/pages/p2p_order_proof_page.dart;lib/features/p2p/presentation/pages/p2p_order_page.dart;lib/features/p2p/presentation/pages/p2p_chat_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
27,RD-P03,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Ads & merchant,9,sc223P2PAdAnalytics;sc224P2PAdDetail;sc225P2PMyAds;sc226P2PCreateAd;sc227P2PMerchantApply;sc228P2PMerchantProfile;sc229P2PReportMerchant;sc230P2PTradingLevel;sc231P2PReviews,lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart;lib/features/p2p/presentation/pages/p2p_ad_detail_page.dart;lib/features/p2p/presentation/pages/p2p_my_ads_page.dart;lib/features/p2p/presentation/pages/p2p_create_ad_page.dart;lib/features/p2p/presentation/pages/p2p_merchant_apply_page.dart;lib/features/p2p/presentation/pages/p2p_merchant_profile_page.dart;lib/features/p2p/presentation/pages/p2p_report_merchant_page.dart;lib/features/p2p/presentation/pages/p2p_trading_level_page.dart;lib/features/p2p/presentation/pages/p2p_reviews_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
28,RD-P04,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Payment methods,6,sc232P2PPaymentMethodAdd;sc233P2PPaymentMethodVerification;sc234P2PPaymentMethodOwnership;sc235P2PPaymentMethodCoolingPeriod;sc236P2PPaymentMethodHistory;sc237P2PPaymentMethods,lib/features/p2p/presentation/pages/p2p_payment_method_add_page.dart;lib/features/p2p/presentation/pages/p2p_payment_method_verification_page.dart;lib/features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart;lib/features/p2p/presentation/pages/p2p_payment_method_cooling_period_page.dart;lib/features/p2p/presentation/pages/p2p_payment_method_history_page.dart;lib/features/p2p/presentation/pages/p2p_payment_methods_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
29,RD-P05,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Insurance & escrow,9,sc238P2PInsuranceFund;sc239P2PInsuranceCertificate;sc240P2PInsuranceScore;sc241P2PInsurancePolicy;sc242P2PContributionHistory;sc243P2PClaimDetail;sc244P2PInsuranceFundAlias;sc245P2PEscrowBalance;sc246P2PEscrowDetail,lib/features/p2p/presentation/pages/p2p_insurance_fund_page.dart;lib/features/p2p/presentation/pages/p2p_insurance_certificate_page.dart;lib/features/p2p/presentation/pages/p2p_insurance_score_page.dart;lib/features/p2p/presentation/pages/p2p_insurance_policy_page.dart;lib/features/p2p/presentation/pages/p2p_contribution_history_page.dart;lib/features/p2p/presentation/pages/p2p_claim_detail_page.dart;lib/features/p2p/presentation/pages/p2p_insurance_fund_page.dart;lib/features/p2p/presentation/pages/p2p_escrow_balance_page.dart;lib/features/p2p/presentation/pages/p2p_escrow_detail_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
30,RD-P06,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",KYC,9,sc247P2PKycRequirements;sc248P2PKycStatus;sc249P2PIdentityVerification;sc250P2PAddressProof;sc251P2PSelfieVerification;sc252P2PVideoVerification;sc402P2PKycVerify;sc403P2PKycFaceMatch;sc404P2PWhitelistMode,lib/features/p2p/presentation/pages/p2p_kyc_requirements_page.dart;lib/features/p2p/presentation/pages/p2p_kyc_status_page.dart;lib/features/p2p/presentation/pages/p2p_identity_verification_page.dart;lib/features/p2p/presentation/pages/p2p_address_proof_page.dart;lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart;lib/features/p2p/presentation/pages/p2p_video_verification_page.dart;lib/features/p2p/presentation/pages/p2p_identity_verification_page.dart;lib/features/p2p/presentation/pages/p2p_selfie_verification_page.dart;lib/features/p2p/presentation/pages/p2p_security_center_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
31,RD-P07,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Security,8,sc253P2PSecurityCenter;sc254P2P2FASettings;sc255P2PDeviceManagement;sc256P2PAntiPhishingCode;sc257P2PLoginHistory;sc258P2PSuspiciousActivity;sc259P2PE2EInfo;sc260P2PFraudPrevention,lib/features/p2p/presentation/pages/p2p_security_center_page.dart;lib/features/p2p/presentation/pages/p2p_2fa_settings_page.dart;lib/features/p2p/presentation/pages/p2p_device_management_page.dart;lib/features/p2p/presentation/pages/p2p_anti_phishing_code_page.dart;lib/features/p2p/presentation/pages/p2p_login_history_page.dart;lib/features/p2p/presentation/pages/p2p_suspicious_activity_page.dart;lib/features/p2p/presentation/pages/p2p_e2e_info_page.dart;lib/features/p2p/presentation/pages/p2p_fraud_prevention_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
32,RD-P08,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Wallet & limits,6,sc261P2PWalletTransfer;sc262P2PFundLockHistory;sc263P2PWalletHistoryAlias;sc264P2PWallet;sc265P2PLimitTracker;sc266P2PTransactionLimits,lib/features/p2p/presentation/pages/p2p_wallet_transfer_page.dart;lib/features/p2p/presentation/pages/p2p_fund_lock_history_page.dart;lib/features/p2p/presentation/pages/p2p_fund_lock_history_page.dart;lib/features/p2p/presentation/pages/p2p_wallet_page.dart;lib/features/p2p/presentation/pages/p2p_limit_tracker_page.dart;lib/features/p2p/presentation/pages/p2p_transaction_limits_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
33,RD-P09,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Compliance & tax,7,sc267P2PComplianceOverview;sc268P2PAmlScreening;sc269P2PSourceOfFunds;sc270P2PLargeTransaction;sc271P2PRiskAssessment;sc272P2PTaxReporting;sc407P2PTaxReportDetail,lib/features/p2p/presentation/pages/p2p_compliance_overview_page.dart;lib/features/p2p/presentation/pages/p2p_aml_screening_page.dart;lib/features/p2p/presentation/pages/p2p_source_of_funds_page.dart;lib/features/p2p/presentation/pages/p2p_large_transaction_justification_page.dart;lib/features/p2p/presentation/pages/p2p_risk_assessment_page.dart;lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart;lib/features/p2p/presentation/pages/p2p_tax_reporting_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
34,RD-P10,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Disputes,5,sc218P2PDisputeDetail;sc219P2PDisputeEvidence;sc220P2PDisputeResolution;sc221P2PDispute;sc222P2PDisputes,lib/features/p2p/presentation/pages/p2p_dispute_detail_page.dart;lib/features/p2p/presentation/pages/p2p_dispute_evidence_page.dart;lib/features/p2p/presentation/pages/p2p_dispute_resolution_page.dart;lib/features/p2p/presentation/pages/p2p_dispute_page.dart;lib/features/p2p/presentation/pages/p2p_disputes_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
35,RD-P11,RD-M08,p2p,sc282P2PHome,"Escrow, compliance UX",Social & settings,4,sc275P2PAchievements;sc276P2PBlacklistAdd;sc277P2PBlacklist;sc278P2PNotificationsSettings,lib/features/p2p/presentation/pages/p2p_achievements_page.dart;lib/features/p2p/presentation/pages/p2p_blacklist_add_page.dart;lib/features/p2p/presentation/pages/p2p_blacklist_page.dart;lib/features/p2p/presentation/pages/p2p_notifications_settings_page.dart,,prompt-redesign/p2p-hub.md,B_child,done
36,RD-E01,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Staking entry,6,sc327StakingEarn;sc328StakingEarnStaking;sc358StakingDashboard;sc359StakingAnalytics;sc360StakingHistory;sc361StakingEarningsCalendar,lib/features/earn/presentation/pages/staking_earn_page.dart;lib/features/earn/presentation/pages/staking_earn_page.dart;lib/features/earn/presentation/pages/staking_dashboard_page.dart;lib/features/earn/presentation/pages/staking_analytics_page.dart;lib/features/earn/presentation/pages/staking_history_page.dart;lib/features/earn/presentation/pages/staking_earnings_calendar_page.dart,prompt-redesign/earn-staking-hub.md,prompt-redesign/earn-staking-hub.md,A_hub,done
37,RD-E02,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Staking ops,7,sc362StakingValidatorSelection;sc363StakingAutoCompound;sc364StakingLiquidStaking;sc365StakingInsurance;sc366StakingAdvancedOrders;sc367StakingMultiChain;sc368StakingInstitutional,lib/features/earn/presentation/pages/staking_validator_selection_page.dart;lib/features/earn/presentation/pages/staking_auto_compound_page.dart;lib/features/earn/presentation/pages/staking_liquid_staking_page.dart;lib/features/earn/presentation/pages/staking_insurance_page.dart;lib/features/earn/presentation/pages/staking_advanced_orders_page.dart;lib/features/earn/presentation/pages/staking_multi_chain_page.dart;lib/features/earn/presentation/pages/staking_institutional_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
38,RD-E03,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Staking legal/risk,9,sc353StakingTerms;sc354StakingRiskDisclosure;sc355StakingWithdrawalPolicy;sc356StakingTaxGuide;sc357StakingRiskAssessment;sc376StakingSuitabilityAssessment;sc381StakingRiskDashboard;sc385StakingEmergencyActions;sc386StakingContingencyPlan,lib/features/earn/presentation/pages/staking_terms_page.dart;lib/features/earn/presentation/pages/staking_risk_disclosure_page.dart;lib/features/earn/presentation/pages/staking_withdrawal_policy_page.dart;lib/features/earn/presentation/pages/staking_tax_guide_page.dart;lib/features/earn/presentation/pages/staking_risk_assessment_page.dart;lib/features/earn/presentation/pages/staking_suitability_assessment_page.dart;lib/features/earn/presentation/pages/staking_risk_dashboard_page.dart;lib/features/earn/presentation/pages/staking_emergency_actions_page.dart;lib/features/earn/presentation/pages/staking_contingency_plan_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
39,RD-E04,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Staking compliance,10,sc373StakingRegulatoryFramework;sc374StakingAuditReports;sc375StakingCustody;sc377StakingInsuranceFundTransparency;sc378StakingTransactionReporting;sc379StakingApiDocumentation;sc380StakingProofOfReserves;sc382StakingSlashingHistory;sc383StakingValidatorHealthMonitor;sc384StakingRiskScoreCalculator,lib/features/earn/presentation/pages/staking_regulatory_framework_page.dart;lib/features/earn/presentation/pages/staking_audit_reports_page.dart;lib/features/earn/presentation/pages/staking_custody_page.dart;lib/features/earn/presentation/pages/staking_insurance_fund_transparency_page.dart;lib/features/earn/presentation/pages/staking_transaction_reporting_page.dart;lib/features/earn/presentation/pages/staking_api_documentation_page.dart;lib/features/earn/presentation/pages/staking_proof_of_reserves_page.dart;lib/features/earn/presentation/pages/staking_slashing_history_page.dart;lib/features/earn/presentation/pages/staking_validator_health_monitor_page.dart;lib/features/earn/presentation/pages/staking_risk_score_calculator_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
