"id","path","area","feature","layer","kind","lines","soft_limit","hard_limit","threshold_bucket","priority","required_action","split_direction","verification","status","notes"
"FEG00026","lib/app/router/app_route_paths.dart","lib","app","app/router","router","550","500","700","soft_review","P2","DOCUMENTED_EXCEPTION: EClean-19 router contract audit completed; keep this route file below hard limit until a route subgroup change requires a semantic split.","Future split must preserve public router facade, AppRoutePaths, AppRouteNames, route paths, route names, redirects, and app/router tests. Do not split mechanically for line count only.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/route_coverage_guardrails_test.dart --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","exception_documented","2026-06-01 EClean-19: reviewed by router contract audit. Route contract, path constants, names, redirects, and route topology preserved; no Dart source edit required."
"FEG00027","lib/app/router/app_router.dart","lib","app","app/router","router","422","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00028","lib/app/router/route_groups/admin_routes.dart","lib","app","app/router","router","27","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00029","lib/app/router/route_groups/arena_routes.dart","lib","app","app/router","router","175","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00030","lib/app/router/route_groups/auth_routes.dart","lib","app","app/router","router","60","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00031","lib/app/router/route_groups/dca_routes.dart","lib","app","app/router","router","70","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00032","lib/app/router/route_groups/earn_routes.dart","lib","app","app/router","router","408","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00033","lib/app/router/route_groups/home_routes.dart","lib","app","app/router","router","16","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00034","lib/app/router/route_groups/launchpad_routes.dart","lib","app","app/router","router","146","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00035","lib/app/router/route_groups/markets_routes.dart","lib","app","app/router","router","139","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00036","lib/app/router/route_groups/p2p_routes.dart","lib","app","app/router","router","515","500","700","soft_review","P2","DOCUMENTED_EXCEPTION: EClean-19 router contract audit completed; keep this route file below hard limit until a route subgroup change requires a semantic split.","Future split must preserve public router facade, AppRoutePaths, AppRouteNames, route paths, route names, redirects, and app/router tests. Do not split mechanically for line count only.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/route_coverage_guardrails_test.dart --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","exception_documented","2026-06-01 EClean-19: reviewed by router contract audit. Route contract, path constants, names, redirects, and route topology preserved; no Dart source edit required."
"FEG00037","lib/app/router/route_groups/placeholder_routes.dart","lib","app","app/router","router","55","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00038","lib/app/router/route_groups/predictions_routes.dart","lib","app","app/router","router","119","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00039","lib/app/router/route_groups/profile_routes.dart","lib","app","app/router","router","76","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00040","lib/app/router/route_groups/root_routes.dart","lib","app","app/router","router","58","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00041","lib/app/router/route_groups/support_routes.dart","lib","app","app/router","router","21","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00042","lib/app/router/route_groups/trade_routes.dart","lib","app","app/router","router","567","500","700","soft_review","P2","DOCUMENTED_EXCEPTION: EClean-19 router contract audit completed; keep this route file below hard limit until a route subgroup change requires a semantic split.","Future split must preserve public router facade, AppRoutePaths, AppRouteNames, route paths, route names, redirects, and app/router tests. Do not split mechanically for line count only.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/route_coverage_guardrails_test.dart --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","exception_documented","2026-06-01 EClean-19: reviewed by router contract audit. Route contract, path constants, names, redirects, and route topology preserved; no Dart source edit required."
"FEG00043","lib/app/router/route_groups/utility_routes.dart","lib","app","app/router","router","128","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00044","lib/app/router/route_groups/wallet_routes.dart","lib","app","app/router","router","132","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00045","lib/app/router/router_helpers.dart","lib","app","app/router","router","60","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00046","lib/app/router/visual_qa_route_metadata.dart","lib","app","app/router","router","350","500","700","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00047","lib/app/theme/app_asset_colors.dart","lib","app","app/theme","theme_token","93","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00048","lib/app/theme/app_colors.dart","lib","app","app/theme","theme_token","170","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00049","lib/app/theme/app_data_viz_colors.dart","lib","app","app/theme","theme_token","50","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00050","lib/app/theme/app_gradients.dart","lib","app","app/theme","theme_token","27","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00051","lib/app/theme/app_module_accents.dart","lib","app","app/theme","theme_token","76","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00052","lib/app/theme/app_radii.dart","lib","app","app/theme","theme_token","33","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00053","lib/app/theme/app_spacing.dart","lib","app","app/theme","theme_token","31","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00054","lib/app/theme/app_text_styles.dart","lib","app","app/theme","theme_token","106","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00055","lib/app/theme/device_metrics.dart","lib","app","app/theme","theme_token","24","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00056","lib/app/vit_trade_app.dart","lib","app","other","other_dart","76","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/app/router --reporter=compact; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00057","lib/core/config/app_environment.dart","lib","core","core","core_boundary","66","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
"FEG00058","lib/core/data/repository_guard.dart","lib","core","core","core_boundary","29","0","900","under_soft_target","P3","AUDIT_ONLY: no split expected; if touched, preserve behavior, use package imports, avoid features/*/data in presentation, avoid runtime Colors.*, format, and run relevant tests.","No extraction expected. Keep cohesive unless a future change exposes mixed responsibilities.","flutter analyze; flutter test test/quality/architecture_baseline_guardrails_test.dart --reporter=compact","pending_audit","generated_2026-06-01"
