product_area,technical_module,capability,flow,sc,route_name,path,widget,file,router_group
Market Intelligence,markets,Market Intelligence,Market research tools,SC-014,sc014PriceAlerts,/markets/alerts,PriceAlertsPage,flutter_app/lib/features/markets/presentation/pages/price_alerts_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market research tools,SC-015,sc015MarketScreener,/markets/screener,MarketScreenerPage,flutter_app/lib/features/markets/presentation/pages/market_screener_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market research tools,SC-016,sc016ComparisonTool,/markets/compare,ComparisonToolPage,flutter_app/lib/features/markets/presentation/pages/comparison_tool_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market research tools,SC-017,sc017MarketCalendar,/markets/calendar,MarketCalendarPage,flutter_app/lib/features/markets/presentation/pages/market_calendar_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-018,sc018DerivativesOverview,/markets/derivatives,DerivativesOverviewPage,flutter_app/lib/features/markets/presentation/pages/derivatives_overview_page.dart,markets_routes.dart
Market Intelligence,markets,Pair Intelligence,Pair and depth intelligence,SC-019,sc019MarketDepth,/markets/depth,MarketDepthPage,flutter_app/lib/features/markets/presentation/pages/market_depth_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-020,sc020SocialSentiment,/markets/social-sentiment,SocialSentimentPage,flutter_app/lib/features/markets/presentation/pages/social_sentiment_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-021,sc021PortfolioTracker,/markets/portfolio-tracker,PortfolioTrackerPage,flutter_app/lib/features/markets/presentation/pages/portfolio_tracker_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-022,sc022MarketNews,/markets/news,MarketNewsPage,flutter_app/lib/features/markets/presentation/pages/market_news_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-023,sc023AdvancedCharts,/markets/advanced-charts,AdvancedChartsPage,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-024,sc024TokenUnlocks,/markets/unlocks,TokenUnlocksPage,flutter_app/lib/features/markets/presentation/pages/token_unlocks_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market intelligence and insights,SC-025,sc025SocialSignals,/markets/signals,SocialSignalsPage,flutter_app/lib/features/markets/presentation/pages/social_signals_page.dart,markets_routes.dart
Market Intelligence,markets,Market Intelligence,Market research tools,SC-026,sc026MarketCorrelations,/markets/correlations,MarketCorrelationsPage,flutter_app/lib/features/markets/presentation/pages/market_correlations_page.dart,markets_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction market discovery,SC-027,sc027PredictionsHome,/markets/predictions,PredictionsHomePage,flutter_app/lib/features/predictions/presentation/pages/predictions_home_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction market discovery,SC-028,sc028PredictionsSearch,/markets/predictions/search,PredictionsSearchPage,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction market discovery,SC-029,sc029PredictionsBreaking,/markets/predictions/breaking,PredictionsBreakingPage,flutter_app/lib/features/predictions/presentation/pages/predictions_breaking_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction event trading,SC-030,sc030PredictionEventDetail,/markets/predictions/event/:eventId,PredictionEventDetailPage,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction portfolio and community,SC-031,sc031PredictionsPortfolio,/markets/predictions/portfolio,PredictionsPortfolioPage,flutter_app/lib/features/predictions/presentation/pages/predictions_portfolio_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction portfolio and community,SC-032,sc032PredictionsRewards,/markets/predictions/rewards,PredictionsRewardsPage,flutter_app/lib/features/predictions/presentation/pages/predictions_rewards_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction portfolio and community,SC-033,sc033PredictionsLeaderboard,/markets/predictions/leaderboard,PredictionsLeaderboardPage,flutter_app/lib/features/predictions/presentation/pages/predictions_leaderboard_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Discovery and Portfolio,Prediction portfolio and community,SC-034,sc034PredictionsGlobalActivity,/markets/predictions/activity,PredictionsGlobalActivityPage,flutter_app/lib/features/predictions/presentation/pages/predictions_global_activity_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction event trading,SC-035,sc035PredictionOrderReceipt,/markets/predictions/receipt/:receiptId,PredictionOrderReceiptPage,flutter_app/lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-036,sc036PredictionRiskCalculator,/markets/predictions/risk-calculator,PredictionRiskCalculatorPage,flutter_app/lib/features/predictions/presentation/pages/prediction_risk_calculator_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-037,sc037PredictionMarketMaker,/markets/predictions/market-maker,PredictionMarketMakerPage,flutter_app/lib/features/predictions/presentation/pages/prediction_market_maker_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-038,sc038PredictionPortfolioAnalyzer,/markets/predictions/portfolio-analyzer,PredictionPortfolioAnalyzerPage,flutter_app/lib/features/predictions/presentation/pages/prediction_portfolio_analyzer_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-039,sc039PredictionEventCalendar,/markets/predictions/event-calendar,PredictionEventCalendarPage,flutter_app/lib/features/predictions/presentation/pages/prediction_event_calendar_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-040,sc040PredictionSocial,/markets/predictions/social,PredictionSocialPage,flutter_app/lib/features/predictions/presentation/pages/prediction_social_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction event trading,SC-041,sc041PredictionAdvancedChart,/markets/predictions/advanced-chart/:eventId,PredictionAdvancedChartPage,flutter_app/lib/features/predictions/presentation/pages/prediction_advanced_chart_page_part_01.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction tournaments,SC-042,sc042PredictionTournaments,/markets/predictions/tournaments,PredictionTournamentsPage,flutter_app/lib/features/predictions/presentation/pages/prediction_tournaments_page.dart,predictions_routes.dart
Prediction Markets,predictions,Prediction Market Operations,Prediction analytics and operations,SC-043,sc043PredictionDataIntegration,/markets/predictions/data-integration,PredictionDataIntegrationPage,flutter_app/lib/features/predictions/presentation/pages/prediction_data_integration_page.dart,predictions_routes.dart
Market Intelligence,markets,Pair Intelligence,Pair and depth intelligence,SC-044,sc044PairDetail,/pair/:pairId,PairDetailPage,flutter_app/lib/features/markets/presentation/pages/pair_detail_page.dart,markets_routes.dart
Market Intelligence,markets,Pair Intelligence,Pair and depth intelligence,SC-045,sc045TokenInfo,/pair/:pairId/info,TokenInfoPage,flutter_app/lib/features/markets/presentation/pages/token_info_page.dart,markets_routes.dart
Market Intelligence,markets,Pair Intelligence,Pair and depth intelligence,SC-046,sc046PairDepth,/pair/:pairId/depth,MarketDepthPage,flutter_app/lib/features/markets/presentation/pages/market_depth_page.dart,markets_routes.dart
Home and Discovery,news,"Home, Discovery and Notifications",News feed,SC-047,sc047News,/news,NewsPage,flutter_app/lib/features/news/presentation/pages/news_page.dart,home_routes.dart
Trading Execution,trade,Core Trading,"Spot, pair, chart and convert execution",SC-048,sc048Trade,/trade,TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Spot, pair, chart and convert execution",SC-049,sc049TradePair,/trade/:pairId,TradePage,flutter_app/lib/features/trade/presentation/pages/trade_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Order, position and settings management",SC-050,sc050OrdersHistory,/trade/orders-history,OrdersHistoryPage,flutter_app/lib/features/trade/presentation/pages/orders_history_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Order, position and settings management",SC-051,sc051OrderReceipt,/trade/order-receipt,OrderReceiptPage,flutter_app/lib/features/trade/presentation/pages/order_receipt_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Order, position and settings management",SC-052,sc052TradeSettings,/trade/settings,TradeSettingsPage,flutter_app/lib/features/trade/presentation/pages/trade_settings_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Order, position and settings management",SC-053,sc053PositionDashboard,/trade/positions,PositionDashboardPage,flutter_app/lib/features/trade/presentation/pages/position_dashboard_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Order, position and settings management",SC-054,sc054TradeHistoryExport,/trade/export,TradeHistoryExportPage,flutter_app/lib/features/trade/presentation/pages/trade_history_export_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Spot, pair, chart and convert execution",SC-055,sc055AdvancedChart,/trade/advanced-chart/:pairId,AdvancedChartPage,flutter_app/lib/features/trade/presentation/pages/advanced_chart_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,"Spot, pair, chart and convert execution",SC-056,sc056Convert,/trade/convert,ConvertPage,flutter_app/lib/features/trade/presentation/pages/convert_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,Futures and leverage,SC-057,sc057Futures,/trade/:pairId/futures,FuturesPage,flutter_app/lib/features/trade/presentation/pages/futures_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,Futures and leverage,SC-058,sc058Leverage,/trade/:pairId/futures/leverage,LeveragePage,flutter_app/lib/features/trade/presentation/pages/leverage_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-059,sc059TradingBots,/trade/bots,TradingBotsPage,flutter_app/lib/features/trade/presentation/pages/trading_bots_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,Risk and execution quality tools,SC-060,sc060RiskManagement,/trade/risk-management,RiskManagementDemoPage,flutter_app/lib/features/trade/presentation/pages/risk_management_demo_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,Risk and execution quality tools,SC-061,sc061ExecutionQuality,/trade/execution-quality,ExecutionQualityDemoPage,flutter_app/lib/features/trade/presentation/pages/execution_quality_demo_page.dart,trade_routes.dart
Trading Execution,trade,Core Trading,Risk and execution quality tools,SC-062,sc062AdvancedTools,/trade/advanced-tools,AdvancedToolsDemoPage,flutter_app/lib/features/trade/presentation/pages/advanced_tools_demo_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-063,sc063CopyTrading,/trade/copy-trading,CopyTradingPage,flutter_app/lib/features/trade/presentation/pages/copy_trading_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-064,sc064CopyTradingV2,/trade/copy-trading/v2,CopyTradingV2Page,flutter_app/lib/features/trade/presentation/pages/copy_trading_v2_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-065,sc065CopyEducation,/trade/copy-trading/education,CopyEducationPage,flutter_app/lib/features/trade/presentation/pages/copy_education_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-066,sc066ActiveCopies,/trade/copy-trading/active,ActiveCopiesPage,flutter_app/lib/features/trade/presentation/pages/active_copies_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-067,sc067CopySettings,/trade/copy-trading/settings,CopySettingsPage,flutter_app/lib/features/trade/presentation/pages/copy_settings_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-068,sc068CopyNotifications,/trade/copy-trading/notifications,CopyNotificationsPage,flutter_app/lib/features/trade/presentation/pages/copy_notifications_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-069,sc069ProviderApplication,/trade/copy-provider-apply,ProviderApplicationPage,flutter_app/lib/features/trade/presentation/pages/provider_application_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy provider onboarding and setup,SC-070,sc070CopyProviderDetail,/trade/copy-provider/:providerId,CopyProviderDetailPage,flutter_app/lib/features/trade/presentation/pages/copy_provider_detail_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy provider onboarding and setup,SC-071,sc071PreCopyAssessment,/trade/copy-provider/:providerId/assessment,PreCopyAssessmentPage,flutter_app/lib/features/trade/presentation/pages/pre_copy_assessment_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy provider onboarding and setup,SC-072,sc072CopyConfiguration,/trade/copy-provider/:providerId/configuration,CopyConfigurationPage,flutter_app/lib/features/trade/presentation/pages/copy_configuration_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy provider onboarding and setup,SC-073,sc073CopyConfirmation,/trade/copy-provider/:providerId/confirmation,CopyConfirmationPage,flutter_app/lib/features/trade/presentation/pages/copy_confirmation_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy performance, attribution and audit",SC-074,sc074CopyPerformance,/trade/copy-performance/:copyId,CopyPerformancePage,flutter_app/lib/features/trade/presentation/pages/copy_performance_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy performance, attribution and audit",SC-075,sc075PerformanceAttribution,/trade/copy-performance/:copyId/attribution,PerformanceAttributionPage,flutter_app/lib/features/trade/presentation/pages/performance_attribution_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-076,sc076ProviderComparison,/trade/copy-trading/comparison,ProviderComparisonPage,flutter_app/lib/features/trade/presentation/pages/provider_comparison_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy performance, attribution and audit",SC-077,sc077CopyAuditLog,/trade/copy-audit-log/:copyId,CopyAuditLogPage,flutter_app/lib/features/trade/presentation/pages/copy_audit_log_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy performance, attribution and audit",SC-078,sc078PortfolioRiskAnalysis,/trade/copy-trading/risk-analysis,PortfolioRiskAnalysisPage,flutter_app/lib/features/trade/presentation/pages/portfolio_risk_analysis_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-079,sc079ProviderLeaderboard,/trade/copy-trading/leaderboard,ProviderLeaderboardPage,flutter_app/lib/features/trade/presentation/pages/provider_leaderboard_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy discovery, education and settings",SC-080,sc080SafetyEducation,/trade/copy-trading/safety,SafetyEducationPage,flutter_app/lib/features/trade/presentation/pages/safety_education_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy safety, governance and disputes",SC-081,sc081ProviderGovernance,/trade/copy-provider-governance,ProviderGovernancePage,flutter_app/lib/features/trade/presentation/pages/provider_governance_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy safety, governance and disputes",SC-082,sc082DisputeResolution,/trade/copy-dispute-resolution,DisputeResolutionPage,flutter_app/lib/features/trade/presentation/pages/dispute_resolution_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy safety, governance and disputes",SC-083,sc083CopySafetyCenter,/trade/copy-safety-center,CopySafetyCenterPage,flutter_app/lib/features/trade/presentation/pages/copy_safety_center_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy safety, governance and disputes",SC-084,sc084RegulatoryDisclosures,/trade/copy-regulatory-disclosures,RegulatoryDisclosuresPage,flutter_app/lib/features/trade/presentation/pages/regulatory_disclosures_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Margin trading surfaces,SC-085,sc085MarginTrading,/trade/margin,MarginTradingPage,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Margin trading surfaces,SC-086,sc086MarginTradingPair,/trade/margin/btcusdt,MarginTradingPage,flutter_app/lib/features/trade/presentation/pages/margin_trading_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Trader profile intelligence,SC-087,sc087TraderProfile,/trade/trader/:traderId,TraderProfilePage,flutter_app/lib/features/trade/presentation/pages/trader_profile_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Advanced margin analytics,SC-088,sc088AdvancedTradingDemo,/trade/margin/advanced-demo,AdvancedTradingDemoPage,flutter_app/lib/features/trade/presentation/pages/advanced_trading_demo_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Advanced margin analytics,SC-089,sc089MarketDataAnalytics,/trade/margin/market-data-analytics,MarketDataAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/market_data_analytics_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Margin trading surfaces,SC-090,sc090MarginTradingHub,/trade/margin/hub,MarginTradingHubPage,flutter_app/lib/features/trade/presentation/pages/margin_trading_hub_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Advanced margin analytics,SC-091,sc091LiveMarketDataAnalytics,/trade/margin/live-market-data-analytics,LiveMarketDataAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/live_market_data_analytics_page.dart,trade_routes.dart
Margin and Advanced Trading,trade,Margin / Advanced Trading,Advanced margin analytics,SC-092,sc092AdvancedAnalytics,/trade/margin/advanced-analytics,AdvancedAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/advanced_analytics_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-093,sc093TransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage,flutter_app/lib/features/trade/presentation/pages/transaction_reporting_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-094,sc094RegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-095,sc095ArmIntegrationStatus,/trade/copy-trading/arm-integration-status,ArmIntegrationStatusPage,flutter_app/lib/features/trade/presentation/pages/arm_integration_status_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-096,sc096BestExecutionReports,/trade/copy-trading/best-execution-reports,BestExecutionReportsPage,flutter_app/lib/features/trade/presentation/pages/best_execution_reports_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-097,sc097ExecutionVenueAnalysis,/trade/copy-trading/execution-venue-analysis,ExecutionVenueAnalysisPage,flutter_app/lib/features/trade/presentation/pages/execution_venue_analysis_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-098,sc098SlippageMonitoring,/trade/copy-trading/slippage-monitoring,SlippageMonitoringPage,flutter_app/lib/features/trade/presentation/pages/slippage_monitoring_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-099,sc099ClientCategorization,/trade/copy-trading/client-categorization,ClientCategorizationPage,flutter_app/lib/features/trade/presentation/pages/client_categorization_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-100,sc100ProductGovernance,/trade/copy-trading/product-governance,ProductGovernancePage,flutter_app/lib/features/trade/presentation/pages/product_governance_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-101,sc101TargetMarketDefinition,/trade/copy-trading/target-market-definition,TargetMarketDefinitionPage,flutter_app/lib/features/trade/presentation/pages/target_market_definition_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-102,sc102ClientMoneyProtection,/trade/copy-trading/client-money-protection,ClientMoneyProtectionPage,flutter_app/lib/features/trade/presentation/pages/client_money_protection_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-103,sc103CassReconciliation,/trade/copy-trading/cass-reconciliation,CassReconciliationPage,flutter_app/lib/features/trade/presentation/pages/cass_reconciliation_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,Copy regulatory and product governance,SC-104,sc104InvestorCompensation,/trade/copy-trading/investor-compensation,InvestorCompensationPage,flutter_app/lib/features/trade/presentation/pages/investor_compensation_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-105,sc105ExAnteCosts,/trade/copy-trading/ex-ante-costs,ExAnteCostsPage,flutter_app/lib/features/trade/presentation/pages/ex_ante_costs_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-106,sc106RiyCalculator,/trade/copy-trading/riy-calculator,RIYCalculatorPage,flutter_app/lib/features/trade/presentation/pages/riy_calculator_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-107,sc107ExPostCostsReport,/trade/copy-trading/ex-post-costs-report,ExPostCostsReportPage,flutter_app/lib/features/trade/presentation/pages/ex_post_costs_report_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-108,sc108KidGenerator,/trade/copy-trading/kid-generator,KIDGeneratorPage,flutter_app/lib/features/trade/presentation/pages/kid_generator_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-109,sc109PerformanceScenarios,/trade/copy-trading/performance-scenarios,PerformanceScenariosPage,flutter_app/lib/features/trade/presentation/pages/performance_scenarios_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy costs, KID and risk disclosures",SC-110,sc110RiskIndicatorExplainer,/trade/copy-trading/risk-indicator-explainer,RiskIndicatorExplainerPage,flutter_app/lib/features/trade/presentation/pages/risk_indicator_explainer_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-111,sc111ComplaintsHandling,/trade/copy-trading/complaints-handling,ComplaintsHandlingPage,flutter_app/lib/features/trade/presentation/pages/complaints_handling_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-112,sc112ComplaintSubmission,/trade/copy-trading/complaint-submission,ComplaintSubmissionPage,flutter_app/lib/features/trade/presentation/pages/complaint_submission_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-113,sc113ComplaintTracking,/trade/copy-trading/complaint-tracking,ComplaintTrackingPage,flutter_app/lib/features/trade/presentation/pages/complaint_tracking_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-114,sc114OmbudsmanReferral,/trade/copy-trading/ombudsman-referral,OmbudsmanReferralPage,flutter_app/lib/features/trade/presentation/pages/ombudsman_referral_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-115,sc115AuditTrail,/trade/copy-trading/audit-trail,AuditTrailPage,flutter_app/lib/features/trade/presentation/pages/audit_trail_page.dart,trade_routes.dart
Copy Trading,trade,Copy Trading,"Copy complaints, audit and inspection readiness",SC-116,sc116RegulatoryInspectionReady,/trade/copy-trading/regulatory-inspection-ready,RegulatoryInspectionReadyPage,flutter_app/lib/features/trade/presentation/pages/regulatory_inspection_ready_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-117,sc117BotTermsOfService,/trade/bots/terms-of-service,BotTermsOfServicePage,flutter_app/lib/features/trade/presentation/pages/bot_terms_of_service_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-118,sc118BotRiskDisclosure,/trade/bots/risk-disclosure,BotRiskDisclosurePage,flutter_app/lib/features/trade/presentation/pages/bot_risk_disclosure_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-119,sc119BotSuitabilityAssessment,/trade/bots/suitability-assessment,BotSuitabilityAssessmentPage,flutter_app/lib/features/trade/presentation/pages/bot_suitability_assessment_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot risk and security controls,SC-120,sc120BotRiskDashboard,/trade/bots/risk-dashboard,BotRiskDashboardPage,flutter_app/lib/features/trade/presentation/pages/bot_risk_dashboard_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot risk and security controls,SC-121,sc121BotEmergencyStop,/trade/bots/emergency-stop,BotEmergencyStopPage,flutter_app/lib/features/trade/presentation/pages/bot_emergency_stop_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot risk and security controls,SC-122,sc122BotSecuritySettings,/trade/bots/security-settings,BotSecuritySettingsPage,flutter_app/lib/features/trade/presentation/pages/bot_security_settings_page.dart,trade_routes.dart
